epoch,step,train_loss,val_loss
0,2342,5.4601030349731445,5.478898525238037
1,4685,5.373703956604004,5.341992378234863
2,7028,5.295987606048584,5.273196220397949
3,9371,5.2676286697387695,5.271628379821777
4,11714,5.2465386390686035,5.262186050415039
5,14057,5.226590633392334,5.240324974060059
6,16400,5.218384265899658,5.250913619995117
7,18743,5.207244873046875,5.2289018630981445
8,21086,5.204539775848389,5.201581954956055
9,23429,5.195226669311523,5.215354919433594
10,25772,5.193599224090576,5.1980791091918945
11,28115,5.193279266357422,5.208514213562012
12,30458,5.184088230133057,5.213558673858643
13,32801,5.183437347412109,5.192699432373047
14,35144,5.1780009269714355,5.227056980133057
15,37487,5.173973083496094,5.203641891479492
16,39830,5.171291351318359,5.182717800140381
17,42173,5.17249870300293,5.178866386413574
18,44516,5.1673736572265625,5.184281349182129
19,46859,5.163750648498535,5.180657863616943
